customer_id,age,annual_income,membership_tier,num_purchases_last_year,days_since_last_purchase,avg_purchase_amount,satisfaction_score,signup_days_ago,purchase_frequency_score,customer_tenure_years,income_to_spend_ratio,annual_spend,is_high_value_customer,membership_tier_encoded,gender_Female,gender_Male,gender_Other,region_Central,region_East,region_North,region_South,region_West,acquisition_channel_Email,acquisition_channel_Organic,acquisition_channel_Paid_Ads,acquisition_channel_Referral,acquisition_channel_Social_Media
101783,18.0,53178.86,Bronze,5.0,85.0,269.725,5.1,435,0.0581,1.19,39.4,1348.62,1,0,False,True,False,False,False,False,True,False,False,True,False,False,False
103918,30.0,60966.19,Silver,7.0,35.0,57.1,7.0,2151,0.1944,5.89,152.15,399.7,0,1,True,False,False,False,True,False,False,False,False,True,False,False,False
100222,41.0,46998.67,Bronze,10.0,57.0,104.31,8.3,528,0.1724,1.45,45.01,1043.1,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False
102136,34.0,53178.86,Bronze,7.0,75.8,81.61,6.4,545,0.0911,1.49,92.93,571.27,0,0,False,False,True,False,False,False,False,True,False,False,True,False,False
105225,50.0,110491.95000000001,Bronze,9.0,110.0,234.13,8.2,1193,0.0811,3.27,52.41,2107.17,1,0,True,False,False,False,False,False,True,False,False,False,False,False,True
100880,38.0,57213.83,Gold,3.0,28.0,244.04,7.8,792,0.1034,2.17,78.04,732.12,0,2,True,False,False,False,False,True,False,False,False,False,False,False,True
100157,40.0,25657.98,Silver,14.0,22.0,125.08,7.6,1040,0.6087,2.85,14.64,1751.12,1,1,True,False,False,False,False,False,False,True,False,True,False,False,False
101658,18.0,44986.2,Silver,7.0,20.0,49.08,7.5,2434,0.3333,6.67,130.56,343.56,0,1,False,False,True,False,True,False,False,False,False,False,False,False,True
100324,47.0,53178.86,Bronze,6.0,41.0,117.6,7.1,360,0.1429,0.99,75.26,705.6,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False
105303,50.0,53178.86,Bronze,11.0,14.0,76.01,9.8,482,0.7333,1.32,63.53,836.11,0,0,True,False,False,False,True,False,False,False,False,False,False,False,True
102612,48.0,43195.54,Bronze,10.0,64.0,96.31,6.5,268,0.1538,0.73,44.8,963.1,0,0,False,True,False,True,False,False,False,False,False,False,False,False,True
100812,31.0,53178.86,Gold,10.0,61.4,75.26,8.0,734,0.1603,2.01,70.57,752.6,0,2,False,True,False,False,False,False,False,True,False,False,False,True,False
100394,44.0,53932.71,Gold,7.0,4.0,132.46,6.6,302,1.4,0.83,58.1,927.22,0,2,True,False,False,False,False,False,False,True,False,False,False,False,True
103594,43.0,53467.03,Bronze,11.0,85.0,25.27,8.1,1871,0.1279,5.13,191.66,277.97,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False
102639,46.0,60647.47,Bronze,6.0,80.0,69.82,7.6,464,0.0741,1.27,144.43,418.92,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False
102188,32.0,33474.94,Silver,5.0,12.0,132.24,10.0,1770,0.3846,4.85,50.55,661.2,0,1,False,True,False,True,False,False,False,False,False,False,True,False,False
105352,42.0,110491.95000000001,Silver,7.0,9.0,269.725,8.2,1025,0.7,2.81,58.49,1888.08,1,1,False,False,True,False,False,False,True,False,False,False,True,False,False
100320,24.0,53178.86,Gold,9.0,46.0,48.9,7.5,2123,0.1915,5.82,120.56,440.1,0,2,True,False,False,False,True,False,False,False,False,False,False,True,False
100168,43.0,16315.77,Bronze,9.0,55.0,87.06,9.1,1608,0.1607,4.41,20.8,783.54,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False
100747,60.0,47188.68,Bronze,12.0,25.0,222.68,4.3,1139,0.4615,3.12,17.65,2672.16,1,0,True,False,False,False,False,False,False,True,True,False,False,False,False
105471,34.0,43993.33,Bronze,8.0,41.0,68.04,6.6,2076,0.1905,5.69,80.67,544.32,0,0,False,True,False,False,False,False,True,False,False,False,True,False,False
103708,45.0,49360.61,Bronze,10.0,73.0,19.12,8.2,114,0.1351,0.31,256.82,191.2,0,0,True,False,False,False,False,False,True,False,True,False,False,False,False
105113,38.0,37226.2,Gold,5.0,33.0,127.1,6.2,1719,0.1471,4.71,58.49,635.5,0,2,True,False,False,False,True,False,False,False,False,False,True,False,False
101872,31.0,49623.89,Silver,6.0,73.0,106.94,6.5,942,0.0811,2.58,77.22,641.64,0,1,True,False,False,False,False,False,False,True,True,False,False,False,False
105757,28.0,66070.92,Bronze,9.0,19.6,38.7,8.5,1931,0.4369,5.29,189.15,348.3,0,0,True,False,False,False,False,False,True,False,True,False,False,False,False
103194,24.0,54419.62,Silver,7.0,15.0,85.31,8.5,822,0.4375,2.25,90.98,597.17,0,1,False,True,False,True,False,False,False,False,True,False,False,False,False
103755,35.0,31156.23,Silver,7.0,11.0,116.36,8.2,1750,0.5833,4.79,38.2,814.52,0,1,True,False,False,False,False,False,True,False,False,True,False,False,False
105626,53.0,33864.24,Bronze,9.0,13.0,104.31,5.4,2043,0.6429,5.6,36.03,938.79,0,0,False,True,False,False,False,True,False,False,False,False,True,False,False
