customer_id,age,gender,region,annual_income,membership_tier,acquisition_channel,num_purchases_last_year,days_since_last_purchase,avg_purchase_amount,satisfaction_score,signup_days_ago
101783,18.0,Male,South,,Bronze,Organic,5,85.0,391.48,5.1,435
103918,30.0,Female,East,60966.19,Silver,Organic,7,35.0,57.1,7.0,2151
100222,41.0,Male,East,46998.67,Bronze,Paid_Ads,10,57.0,,8.3,528
102136,34.0,Other,West,,Bronze,Paid_Ads,7,,81.61,6.4,545
105225,50.0,Female,South,143685.41,Bronze,Social_Media,9,110.0,234.13,8.2,1193
101169,33.0,Female,South,,Silver,Email,6,22.0,101.04,,1282
100880,38.0,Female,North,57213.83,Gold,Social_Media,3,28.0,244.04,7.8,792
100157,40.0,Female,West,25657.98,Silver,Organic,14,22.0,125.08,7.6,1040
101658,18.0,Other,East,44986.2,Silver,Social_Media,7,20.0,49.08,7.5,2434
100324,47.0,Other,East,,Bronze,Paid_Ads,6,41.0,117.6,7.1,360
105303,50.0,Female,East,,Bronze,Social_Media,11,14.0,76.01,9.8,482
102612,48.0,,Central,43195.54,Bronze,Social_Media,10,64.0,96.31,6.5,268
100812,31.0,Male,West,,Gold,Referral,10,,75.26,8.0,734
100394,44.0,Female,West,53932.71,Gold,Social_Media,7,4.0,132.46,6.6,302
103594,43.0,Male,East,53467.03,Bronze,Referral,11,85.0,25.27,8.1,1871
102639,46.0,Male,West,60647.47,Bronze,Paid_Ads,6,80.0,69.82,7.6,464
102188,32.0,Male,Central,33474.94,Silver,Paid_Ads,5,12.0,132.24,10.0,1770
105352,42.0,Other,South,127587.85,Silver,Paid_Ads,7,9.0,2846.5174592550916,8.2,1025
100320,24.0,Female,East,,Gold,Referral,9,,48.9,7.5,2123
100168,43.0,Male,West,16315.77,Bronze,Paid_Ads,9,55.0,87.06,9.1,1608
100747,60.0,Female,West,47188.68,Bronze,Email,12,,222.68,4.3,1139
105471,34.0,Male,South,43993.33,Bronze,Paid_Ads,8,41.0,68.04,6.6,2076
103708,45.0,Female,South,49360.61,Bronze,Email,10,73.0,19.12,8.2,114
102765,,Female,South,102028.08,Platinum,Email,5,76.0,236.9,6.6,289
105113,38.0,Female,East,37226.2,Gold,Paid_Ads,5,33.0,127.1,6.2,1719
104007,34.0,Male,West,104851.49,Gold,Organic,11,142.0,385.11,,2499
101872,31.0,Female,West,49623.89,Silver,Email,6,73.0,106.94,6.5,942
105757,28.0,Female,South,66070.92,Bronze,Email,9,,38.7,8.5,1931
103194,24.0,Male,Central,54419.62,Silver,Email,7,15.0,85.31,8.5,822
103755,35.0,Female,South,31156.23,Silver,Organic,7,11.0,116.36,8.2,1750
105626,53.0,Male,North,33864.24,Bronze,Paid_Ads,9,13.0,,5.4,2043
104895,28.0,,East,54393.16,Bronze,Paid_Ads,8,26.0,219.34,4.9,937
104103,29.0,Female,West,,Silver,Organic,4,57.0,75.19,10.0,2096
