V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Time,Amount,Class
-0.058686,1.246687,-1.42365,1.265958,0.6679,-0.712167,-0.067661,-0.765994,1.445927,0.113286,96427.74,83.52,0
0.540063,0.993108,1.294626,-0.94222,0.777812,-2.77442,-0.213936,0.826798,0.688081,-1.359409,137867.45,155.83,0
0.85307,-0.780285,0.479779,-0.751971,-0.201578,-0.153474,0.890869,-1.001781,-0.50811,0.92912,39445.37,19.82,0
-0.475884,0.092667,0.755493,-0.705301,2.853849,0.151861,0.342311,-0.738402,0.062396,-0.266966,44317.43,77.39,0
-1.506257,-1.428356,0.025807,0.226282,-0.173091,0.039076,0.439622,-0.338814,2.09833,-0.328376,160851.61,144.86,0
-0.662121,-0.451463,0.794303,0.240833,0.144999,-0.162856,0.981881,0.12353,-0.282296,-2.594792,37228.91,66.36,0
-0.816618,-1.017084,1.596978,-1.473148,-0.307213,0.245928,0.50821,-0.025289,0.031,0.003475,118314.52,92.09,0
0.276563,0.179211,-0.097642,1.660895,-0.689629,0.892732,1.072455,1.113685,2.350622,-0.75914,158387.67,61.07,0
0.05203,0.856479,0.507706,0.197395,-0.633655,0.836544,-0.861576,-1.080696,0.777278,1.931765,124922.51,58.22,0
-0.049048,1.628851,-0.447417,0.739444,0.789734,1.191933,0.099868,0.895386,0.183961,0.673651,105478.31,80.33,0
-2.587158,-1.405285,-2.272805,-1.459553,0.586731,1.12735,1.388832,-0.704829,0.329548,-0.412341,44564.06,28.42,0
-0.409482,-0.290748,-0.490068,0.717689,-0.234242,-0.132066,0.555134,-1.380919,-1.172964,-0.585671,100077.0,46.83,0
0.040355,0.861721,-0.970513,0.347373,-1.255656,1.053225,0.156684,0.291716,-0.155401,-0.944116,144157.14,205.17,0
-1.209856,-1.216927,-0.001538,-1.611251,-2.24024,0.117403,0.06732,-0.809969,2.019618,-0.562178,163391.58,79.53,0
0.096557,-1.066798,-1.092864,1.118915,-1.698378,0.560499,-2.535838,0.559291,-0.548974,1.769592,169763.09,38.09,0
-0.287058,-0.485324,-0.646331,0.310978,0.389495,-0.013954,-1.201416,0.691608,-1.915527,1.370112,45935.55,90.81,0
-0.326976,-0.057507,-0.126302,-0.229234,1.078359,0.051776,0.458407,-0.315625,-0.104079,-0.596697,135066.08,29.45,0
-0.083092,-1.596527,-0.905622,-0.412637,0.298379,0.89592,-0.49719,-0.65074,0.690054,-0.809504,78364.5,177.27,0
-0.01603,-0.613328,-1.179374,1.478701,-2.668359,0.584928,-0.017804,-0.901713,0.809477,-0.380541,147399.49,67.04,0
-0.854349,-0.341204,-1.046901,0.110458,0.259837,-2.047914,0.021116,0.651909,0.169288,-0.951948,36143.93,78.24,0
1.27058,1.483242,-0.801109,0.652045,0.916998,0.045769,-3.199779,-0.893486,1.638005,1.02141,16051.55,34.17,0
1.498058,1.562422,-0.533634,-0.288619,1.005803,-0.045399,2.177898,-0.396343,0.329649,-1.168748,149135.44,32.7,0
-0.666997,-0.606265,0.946134,-1.614631,0.813902,-0.179726,-0.071841,-0.1132,-1.750093,0.936569,101566.61,15.59,0
0.96651,1.637739,1.093322,-0.469305,1.465187,0.188592,2.557606,0.676578,0.176757,0.429889,67055.44,136.79,0
-1.121302,-0.417447,-0.96968,1.433084,1.477146,0.770153,0.085008,0.989643,-0.286333,0.359329,55303.71,27.43,0
-0.481536,0.761995,-1.363469,0.485444,-0.538433,-1.112101,0.089997,1.050761,-1.262888,1.203622,32354.79,32.82,0
0.364446,0.030465,-0.117469,0.232982,-0.137478,-1.189567,0.342495,1.110134,0.689069,-0.429774,141834.41,116.56,0
-0.012166,0.49686,-1.457764,-1.000657,0.056462,-0.980015,-0.538271,1.35124,1.078753,0.531059,93898.47,198.9,0
0.148749,-0.39251,0.231724,-0.299465,0.611939,-1.052044,1.200531,-1.649385,2.04293,-0.906927,59387.45,76.06,0
0.326504,-0.438274,1.324889,0.539641,0.173359,-0.316639,-0.66336,-1.421245,-1.021406,-2.078896,1774.93,34.49,0
1.044413,0.795399,-0.185929,0.537567,1.428485,1.445549,0.434305,0.014343,-0.781011,0.382306,37454.99,103.03,0
-0.040443,0.813689,-1.373761,-0.953437,-0.078379,0.456071,0.347737,0.151195,0.469609,-0.186467,86378.56,154.47,0
-0.298927,-7.2e-05,-1.096274,-0.710084,2.289782,1.468337,-0.719908,-1.331746,-0.300301,-1.216896,107017.33,59.33,0
-1.05517,-2.294669,-0.617689,0.689544,-2.163828,0.719478,-1.146887,-0.569823,0.052237,0.404794,62623.81,29.37,0
0.870539,-0.405448,-1.316522,1.130933,-0.02757,-0.865859,-0.00496,1.408752,0.868947,-0.232226,161668.86,60.65,0
0.669928,-1.658607,-0.664379,0.477623,-0.099342,0.387183,-2.396535,-0.612845,0.659814,0.340804,148171.0,113.5,0
-0.418147,-0.337633,-1.210681,-0.099396,0.74448,0.898308,0.240696,0.096645,-0.005016,0.02652,136838.42,18.16,0
-1.979065,-0.543419,-1.895911,-0.724976,-0.429979,0.995655,0.365973,1.782706,1.267997,0.069035,45823.57,228.97,0
-0.979173,1.010994,0.661417,-0.7522,-0.386897,0.571579,1.974903,-1.560157,-0.334473,-0.611307,89129.42,35.2,0
-2.190002,-0.261446,-0.16456,1.36176,1.343656,0.002473,-0.48573,0.945626,0.875548,0.624843,130401.67,51.14,0
-0.089215,0.369903,1.253464,0.150013,-1.252067,1.173977,-0.815345,0.229068,-1.195586,0.064142,48319.46,152.33,0
-1.099374,0.236591,0.659766,2.057658,1.642736,0.380782,-2.148259,-0.263573,-1.475955,-0.354453,81993.33,367.63,0
0.375293,0.942135,0.279043,1.98871,1.146903,-0.562873,0.133516,0.652442,-1.050415,0.048055,104623.97,81.2,0
0.13222,2.21575,0.35418,1.585343,0.591341,-2.06486,0.475022,-0.761902,-1.266709,-0.98884,171764.34,188.92,0
